Source,Target
Z-5111502P_1164,"24""-SW-B18H-002-"_1BE0
"24""-SW-B18H-002-"_1BE0,VALV-51115002_A1E1
VALV-51115002_A1E1,"24""-SW-B18H-002-"_4F87
"24""-SW-B18H-002-"_FDB2,"24""-SW-B18H-002-"_57B8
"24""-SW-B18H-002-"_57B8,"24""-SW-B18H-002-"_C1BD
"24""-SW-B18H-002-"_C1BD,XV-5111524_78B9
XV-5111524_78B9,"24""-SW-B18H-002-"_A08A
"24""-SW-B18H-002-"_A408,FT-5111501B_C160
"24""-SW-B18H-214-"_B8BB,"24""-SW-B18H-214-"_CDE7
"24""-SW-B18H-214-"_F0A9,"24""-SW-B18H-214-"_B8BB
"24""-SW-B18H-214-"_F0A9,"24""-SW-B18H-214-"_CDE7
"14""-SW-B18H-214-NI"_FC5B,"14""-SW-B14H-012-"_6737
"24""-SW-B18H-214-"_4511,"24""-SW-B18H-214-"_950B
"24""-SW-B18H-214-"_950B,"24""-SW-B18H-214-"_50E8
HV-5111522_BCF5,"24""-SW-B18H-214-"_513E
"24""-SW-B18H-214-"_3770,"24""-SW-B18H-214-"_1284
"24""-SW-B18H-214-"_513E,HV-5111521_ADCC
HV-5111521_ADCC,"24""-SW-B18H-214-"_E3CA
"24""-SW-B18H-214-"_4E08,HV-5111522_BCF5
"24""-SW-B18H-214-"_FA6E,"24""-SW-B18H-214-"_AB09
"24""-SW-B18H-214-"_AB09,"24""-SW-B18H-214-"_DF19
"24""-SW-B18H-214-"_CCC6,"14""-SW-B18H-214-"_6EAB
"24""-SW-B18H-214-"_CCC6,"14""-SW-B14H-005-"_2371
"24""-SW-B18H-214-"_53F2,"24""-SW-B18H-214-"_CCC6
"14""-SW-B14H-005-"_2371,"14""-SW-B14H-005-"_6CE0
"14""-SW-B14H-005-"_6219,2858_C487
2858_C487,2858_2E09
"24""-SW-B18H-214-"_46A4,"14""-SW-B18H-214-NI"_FC5B
"24""-SW-B18H-214-"_46A4,"24""-SW-B18H-214-"_552A
"24""-SW-B18H-214-"_46A4,"14""-SW-B14H-012-"_6737
"24""-SW-B18H-214-"_552A,"24""-SW-B18H-214-"_BB73
"14""-SW-B14H-012-"_6737,"14""-SW-B14H-012-"_8079
"14""-SW-B14H-012-"_8079,HV-5111518_F576
"24""-SW-B18H-002-"_6F9A,"24""-SW-B18H-002-"_FDB2
HV-5111518_F576,"14""-SW-B14H-012-"_81D2
"24""-SW-B18H-214-"_50E8,"24""-SW-B18H-214-"_AB8E
"14""-SW-B14H-012-"_81D2,2862_103A
2862_103A,2862_BB7F
2862_BB7F,"14""-SW-B14H-012-NI"_0721
"24""-SW-B18H-002-"_A08A,"24""-SW-B18H-002-"_B9A2
"14""-SW-B14H-012-NI"_0721,"14""-SW-B14H-052-"_1911
"14""-SW-B14H-052-"_D9AE,HV-5241524_85CE
"14""-SW-B14H-052-"_D9AE,"14""-SW-B14H-052-"_F229
"12""-SW-B14H-024-NI"_9B6B,"12""-SW-B14H-024-NI"_E0C4
"12""-SW-B14H-029-"_81DE,"12""-SW-B14H-029-"_DC10
"14""-SW-B18H-214-"_6EAB,"14""-SW-B14H-005-"_2371
"14""-SW-B14H-052-"_F229,"14""-SW-B14H-052-"_D9AE
"14""-SW-B14H-052-"_F229,"14""-SW-B14H-052-"_4BDD
"12""-SW-B14H-024-NI"_E8D5,"10""-SW-B14H-065-NI"_AB0A
"12""-SW-B14H-024-NI"_E8D5,"10""-SW-B14H-024-NI"_FE4A
"12""-SW-B14H-024-NI"_E8D5,"10""-SW-B14H-065-NI"_E69A
"12""-SW-B14H-024-NI"_E8D5,"12""-SW-B14H-024-NI"_69FA
VALV-52415056_3CB0,"12""-SW-B14H-024-NI"_8295
"14""-SW-B14H-005-"_5D80,"14""-SW-B14H-052-"_F229
"12""-SW-B14H-024-NI"_8295,"8""-SW-B14H-024-NI"_B8B7
"4""-SW-B18H-066-NI"_CFA1,GG-5241501A_B689
PV-5241509_4BE9,"8""-SW-B14H-024-NI"_3A3A
"24""-SW-B18H-214-"_1284,"24""-SW-B18H-214-"_46A4
"4""-SW-B18H-066-NI"_4C9A,"4""-SW-B18H-066-NI"_5412
"4""-SW-B18H-066-NI"_4C9A,"4""-SW-B18H-066-NI"_A13E
FT-5111501B_C160,"24""-SW-B18H-214-"_F0A9
"24""-SW-B18H-214-"_B71B,"24""-SW-B18H-214-"_3770
VALV-52415024_4772,"12""-SW-B14H-029-"_FB35
"24""-SW-B18H-214-"_DF19,"24""-SW-B18H-214-"_53F2
"12""-SW-B14H-024-NI"_6547,"12""-SW-B14H-024-NI"_E063
"12""-SW-B14H-024-NI"_E507,"12""-SW-B14H-024-NI"_B2E5
"8""-SW-B14H-024-NI"_3A3A,"12""-SW-B14H-024-NI"_6547
"12""-SW-B14H-024-NI"_E04B,"12""-SW-B14H-024-NI"_9B6B
"10""-SW-B14H-065-NI"_E69A,GG-5241501A_B689
"4""-SW-B18H-066-NI"_F135,"4""-SW-B18H-066-NI"_3609
"4""-SW-B18H-066-NI"_F135,"4""-SW-B18H-066-NI"_51AB
"4""-SW-B18H-066-NI"_F135,"4""-SW-B18H-066-NI"_C365
"24""-SW-B18H-214-"_CDE7,"24""-SW-B18H-214-"_B71B
"12""-SW-B14H-024-NI"_5EE5,"12""-SW-B14H-024-NI"_E04B
ESP-52415048_0857,"12""-SW-B14H-024-NI"_A529
"4""-SW-B18H-066-NI"_5412,"4""-SW-B18H-066-NI"_A13E
"14""-SW-B14H-052-"_4BDD,"14""-SW-B14H-052-"_C329
"24""-SW-B18H-214-"_AB8E,"24""-SW-B18H-214-"_4E08
"10""-SW-B14H-024-NI"_0AAD,GG-5241501A_B689
"4""-SW-B18H-066-NI"_EE4D,"4""-SW-B18H-066-NI"_4C9A
"4""-SW-B18H-066-NI"_A13E,GG-5241501A_B689
"12""-SW-B14H-029-"_ABCA,VALV-52415024_4772
"24""-SW-B18H-002-"_08DD,"24""-SW-B18H-002-"_A408
"10""-SW-B14H-065-NI"_AB0A,"10""-SW-B14H-065-NI"_E69A
"8""-SW-B14H-024-NI"_B8B7,PV-5241509_4BE9
"4""-SW-B18H-066-NI"_24CD,"4""-SW-B18H-066-NI"_AC12
"14""-SW-B14H-028-"_EABD,B-5241502B_309E
"12""-SW-B14H-029-"_FB35,XV-5241549_60A3
"4""-SW-B18H-066-NI"_3609,GG-5241501A_B689
"24""-SW-B18H-214-"_BB73,"24""-SW-B18H-214-"_4511
B-5241502B_309E,"12""-SW-B14H-024-"_F941
"10""-SW-B14H-024-NI"_FE4A,"10""-SW-B14H-024-NI"_0AAD
"14""-SW-B14H-028-"_5CC1,"14""-SW-B14H-028-"_A5D7
"4""-SW-B18H-066-NI"_6E0A,"4""-SW-B18H-066-NI"_CFA1
"12""-SW-B14H-029-"_DC10,"12""-SW-B14H-029-"_BA90
"4""-SW-B18H-066-NI"_51AB,"4""-SW-B18H-066-NI"_BB3C
"4""-SW-B18H-066-NI"_C365,"4""-SW-B18H-066-NI"_3609
"4""-SW-B18H-066-NI"_AC12,"4""-SW-B18H-066-NI"_F135
"4""-SW-B14H-066-NI"_9491,"4""-SW-B18H-066-NI"_24CD
"12""-SW-B14H-024-NI"_E063,"12""-SW-B14H-024-NI"_E507
"12""-SW-B14H-024-NI"_B2E5,"12""-SW-B14H-024-NI"_FEEB
"12""-SW-B14H-024-NI"_B2E5,"4""-SW-B14H-066-NI"_9491
"12""-SW-B14H-024-NI"_B2E5,"4""-SW-B18H-066-NI"_24CD
"12""-SW-B14H-024-NI"_38A2,"12""-SW-B14H-024-NI"_6D17
"12""-SW-B14H-024-NI"_3239,"12""-SW-B14H-024-NI"_38A2
"24""-SW-B18H-214-"_E3CA,"24""-SW-B18H-214-"_FA6E
2872_B52B,"12""-SW-B14H-024-NI"_3239
2872_9AF0,2872_B52B
"14""-SW-B14H-028-"_A5D7,"14""-SW-B14H-028-"_EABD
"14""-SW-B14H-028-"_A5D7,"14""-SW-B14H-028-"_FB8A
"24""-SW-B18H-002-"_4F87,"24""-SW-B18H-002-"_6F9A
"12""-SW-B14H-024-NI"_69FA,"10""-SW-B14H-024-NI"_FE4A
"12""-SW-B14H-024-"_ABF4,"12""-SW-B14H-024-"_14CD
"12""-SW-B14H-029-"_5919,"12""-SW-B14H-024-"_ABF4
XV-5241549_60A3,"12""-SW-B14H-029-"_5919
"12""-SW-B14H-029-"_BA90,"12""-SW-B14H-029-"_ABCA
B-5241502A_BB3E,"12""-SW-B14H-029-"_81DE
"12""-SW-B14H-024-"_9B08,"12""-SW-B14H-024-"_2C10
"14""-SW-B14H-026-"_BB90,B-5241502A_BB3E
"14""-SW-B14H-026-"_1BF5,"14""-SW-B14H-026-"_D619
"14""-SW-B14H-026-"_1BF5,"14""-SW-B14H-026-"_BB90
"14""-SW-B14H-026-"_D619,"14""-SW-B14H-026-"_BB90
"14""-SW-B14H-026-"_FF9A,"14""-SW-B14H-026-"_1BF5
HV-5111506_237B,"14""-SW-B14H-005-"_6219
XV-5241547_B058,"14""-SW-B14H-026-"_FF9A
"14""-SW-B14H-026-"_EEFD,XV-5241547_B058
2858_2E09,"14""-SW-B14H-005-"_5D80
"14""-SW-B14H-052-"_0FED,"14""-SW-B14H-026-"_EEFD
"14""-SW-B14H-005-"_6CE0,HV-5111506_237B
"14""-SW-B14H-052-"_E3DE,"14""-SW-B14H-052-"_0FED
"14""-SW-B14H-052-"_7CBC,"14""-SW-B14H-052-"_1911
"14""-SW-B14H-052-"_7CBC,HV-5241524_85CE
"12""-SW-B14H-024-NI"_6D17,ESP-52415048_0857
"12""-SW-B14H-024-"_CF33,"12""-SW-B14H-024-"_ABF4
"14""-SW-B14H-052-"_1911,"14""-SW-B14H-052-"_7CBC
"14""-SW-B14H-052-"_1911,"14""-SW-B14H-052-"_E3DE
"12""-SW-B14H-024-"_14CD,2872_9AF0
XV-5241551_8693,"12""-SW-B14H-024-"_CF33
"4""-SW-B18H-066-NI"_BB3C,"4""-SW-B18H-066-NI"_6E0A
"4""-SW-B18H-066-NI"_BB3C,"4""-SW-B18H-066-NI"_CFA1
"4""-SW-B18H-066-NI"_BB3C,"4""-SW-B18H-066-NI"_EE4D
"12""-SW-B14H-024-"_2C10,VALV-52415031_F58D
"12""-SW-B14H-024-"_D595,XV-5241551_8693
VALV-52415031_F58D,"12""-SW-B14H-024-"_D595
HV-5241524_85CE,"14""-SW-B14H-052-"_7CBC
HV-5241524_85CE,"14""-SW-B14H-052-"_D9AE
"12""-SW-B14H-024-NI"_E0C4,VALV-52415056_3CB0
"12""-SW-B14H-024-"_92BF,"12""-SW-B14H-024-"_9B08
"24""-SW-B18H-002-"_B9A2,"24""-SW-B18H-002-"_08DD
"24""-SW-B18H-002-"_B9A2,"24""-SW-B18H-002-"_A408
"12""-SW-B14H-024-NI"_FEEB,"12""-SW-B14H-024-NI"_E8D5
"14""-SW-B14H-028-"_5114,XV-5241552_EAD5
"12""-SW-B14H-024-"_F941,"12""-SW-B14H-024-"_92BF
"14""-SW-B14H-028-"_FB8A,"14""-SW-B14H-028-"_EABD
XV-5241552_EAD5,"14""-SW-B14H-028-"_5CC1
"12""-SW-B14H-024-NI"_A529,"12""-SW-B14H-024-NI"_5EE5
"14""-SW-B14H-052-"_C329,"14""-SW-B14H-028-"_5114
